ProductID,ProductName,ProductBrand,Gender,Price,NumImages,ID,Description,PrimaryColor
10036633,ColorPlus Men Maroon & Blue Regular Fit Checked Casual Shirt,ColorPlus,Men,874,5,10036633,"Maroon and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue
10052245,Titan Men Blue Analogue Watch 90099SL01,Titan,Men,9995,4,10052245,"Display: AnalogueMovement: ElectronicPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Blue regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Blue
10040599,Besiva Women Pink Solid Regular Fit Hot Pants,Besiva,Women,599,5,10040599,"Pink solid mid-rise hot pants, has a drawstring closure",Pink
10051031,Soumya White & Red Single Long Door Curtain,Soumya,Unisex,1263,4,10051031,Set content: Single Long Door curtainColour: White and RedPattern: Ethnic MotifsLight blocking: RegularFitting: EyeletLining: No,Red
10052055,Fastrack Men Grey Textured Analogue Watch 3124SL06,Fastrack,Men,1960,5,10052055,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round metal dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Red
1003781,Aurelia Red Kurta,AURELIA,Women,399,4,1003781,"Red kurta with embroidered and printed detailing, has a round neck with a split V-neckline, three-quarter sleeves, button detail on the front, side slits, and a curved hem",Red
10052723,Titan Women White Analogue Watch 2480SM09,Titan,Women,2956,5,10052723,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case",White
10052079,Sonata Reloaded Men Blue Analogue watch 77031SL01,Sonata,Men,1575,5,10052079,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, CalendarStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Blue
10056541,Fame Forever by Lifestyle Men Blue Slim Fit Solid Regular Trousers,Fame Forever by Lifestyle,Men,909,5,10056541,"Blue solid mid-rise trousers has button closure, four pockets",Blue
10046897,Roadster Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,Men,899,7,10046897,"Blue medium wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Blue
10056033,Fame Forever by Lifestyle Men & White Black Printed Round Neck T-shirt,Fame Forever by Lifestyle,Men,349,5,10056033,"Black & white printed T-shirt, has a round neck, and short sleeves",Black
10051319,Tokyo Talkies Women Green Solid Peplum Top,Tokyo Talkies,Women,449,5,10051319,"Green solid woven peplum top, has a round neck, three-quarter sleeves, and button closure. has lace insert detail",Green
10052565,Fastrack Women Black & Blue Analogue Watch 6168NM01,Fastrack,Women,2396,5,10052565,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset Time, Date ApertureStrap style: Black bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Blue
10063643,Metro Women Brown Printed Heels,Metro,Women,1490,5,10063643,"A pair of brown open toe heels, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer",Brown
10036641,ColorPlus Men Blue & Grey Tailored Fit Printed Casual Shirt,ColorPlus,Men,1214,5,10036641,"Blue and Grey printed casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",Blue
10054811,Veni Vidi Vici Women Blue Bodycon Dress,Veni Vidi Vici,Women,792,5,10054811,"Blue solid knitted bodycon dress with ruffles and overlapping detail, has a V-neck, short sleeves, and straight hem",Blue
10056529,Fame Forever by Lifestyle Men Blue & White Slim Fit Checked Casual Shirt,Fame Forever by Lifestyle,Men,649,4,10056529,"Blue and White checked casual shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket",Blue
10051001,Soumya White & Blue Single Long Door Curtain,Soumya,Unisex,1077,4,10051001,Set content: Single Long Door curtainColour: White and BluePattern: Floral Light blocking: RegularFitting: EyeletLining: No,Blue
10052153,Titan Women Grey Analogue Watch 2570SM07,Titan,Women,3196,5,10052153,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time, Date ApertureStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Grey
10052385,Zoop Unisex Kids Black Analogue Watch 16005PP01,Zoop,Unisex Kids,895,5,10052385,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: Black regular, rubber strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Zoop case",Black
10051479,Calvin Klein Unisex Red Cabin Trolley Bag,Calvin Klein,Unisex,9090,6,10051479,"Red cabin trolley bag secured with a TSA lockOne padded handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted 360-degree wheelsOne main zip compartment with a zip lining, has a zip pocket on the flap2 external zip pocket on the frontZipper detail to adjust the depthWarranty: 10 yearsWarranty provided by the brand owner/manufacturer",Red
10044459,TIMESMITH Women Brown Analogue Watch TSC-050,TIMESMITH,Women,499,5,10044459,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Multi FunctionStrap style: Rose Gold-Toned bracelet style, stainless steel strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature TIMESMITH case",Brown
10063703,Metro Women Black Solid Leather Heels,Metro,Women,1990,5,10063703,"A pair of black open toe sandals, has regular styling, open back detailLeather upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer",Black
1005061,Arrow Sport Navy Woollen Sweater,Arrow Sport,Men,1119,4,1005061,"Navy blue sweater, has a V-neck, long sleeves",Navy
10052331,Fastrack Men Orange Leather Analogue and Digital Watch 38034SL01,Fastrack,Men,2796,5,10052331,"Display: Analogue and DigitalMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Orange regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Orange
10038925,Kraus Jeans Women Black Skinny Fit High-Rise Clean Look Cropped Jeans K4050,Kraus Jeans,Women,1695,7,10038925,"Black dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Black
10052015,Titan Men Black Analogue Watch 1802NL01,Titan,Men,2396,5,10052015,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case",Black
10038933,Kraus Jeans Women Black Skinny Fit Mid-Rise Clean Look Cropped Jeans K4050,Kraus Jeans,Women,1595,7,10038933,"Black dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Black
